ABAT	ALDH5A1
ACRBP	PSMA1
ADAM5	PSMA1
AP1G1	CCDC91
AP1G1	HEATR5B
AP1G1	HSP70
AP1G1	LOC100154987
AP1G1	RABEP1
AP1G1	SYNRG
AQN-1	UBB
AWN	PSMA1
BSP1	PSMA1
CALM1	MYO6
CCDC91	GGA1
CCDC91	GGA2
DCTN1	TUBB2A
GAB1	PIK3R1
GAB1	PRKACA
GAB1	PTPN11
GGA1	HEATR5B
GGA1	SYNRG
GGA2	HEATR5B
GGA2	RABEP1
GGA2	SYNRG
HSP90AA1	NOS3
HSP90AA1	PTGIS
HSP90AA1	TBXAS1
LOC100037957	MYH2
LOC100037957	MYO6
LOC100155139	PSMA1
LOC100525409	PSMA1
MAPT	TUBB2A
MFGE8	PSMA1
NCOR1	NR6A1
NOS3	PRKACA
NOS3	PTPN11
NR6A1	RAP80
PRKACA	PTPN11
PSMA1	PSMA3
PSMA1	PSMA4
PSMA1	PSMA5
PSMA1	PSMA7
PSMA1	PSMA8
PSMA1	PSMB6
PSMA1	PSP-I
PSMA1	SPMI
SPMI	UBB
SUCLG1	SUCLG2
UBB	UBR7
UBB	ZP4
