control.1	control.2	control.3	rna1.1	rna1.2	rna1.3	rna2.1	rna2.2	rna2.3	Majority.protein.IDs	Protein.names	Gene.names
47290000	78497000	54363000	37438000	58468000	65922000	19524000	28917000	39280000	A0AV96;D6REZ6;D6RBS9;D6R9D6;A0AV96-2;D6RCT1;D6RBP6;D6RA49;D6RFL5;D6R9M7;B7Z8Z7	RNA-binding protein 47	RBM47
5795500000	5218900000	5308400000	7024100000	6775200000	6687100000	5737200000	5803800000	5749900000	A0AVT1;A0AVT1-2	Ubiquitin-like modifier-activating enzyme 6	UBA6
2301300000	2085800000	2350100000	1550600000	1.768e+09	1813800000	2879500000	2259200000	2424300000	A0FGR8-6;A0FGR8;A0FGR8-2	Extended synaptotagmin-2	ESYT2
1333500000	1187800000	1.168e+09	2279100000	2120700000	2093400000	966080000	1002600000	1080600000	A0MZ66;A0MZ66-3;A0MZ66-4;A0MZ66-6;A0MZ66-2;A0MZ66-5;B7Z7Z9	Shootin-1	KIAA1598
180800000	97195000	189400000	96619000	313640000	145160000	71256000	85223000	100960000	A0PJW6	Transmembrane protein 223	TMEM223
1377500000	1209700000	1063300000	2010400000	2008500000	2.174e+09	1691600000	1262500000	1583500000	A1L0T0	Acetolactate synthase-like protein	ILVBL
104210000	157660000	130380000	181600000	185860000	186940000	147380000	144510000	106720000	A1L390;G3V311;A1L390-2;A1L390-3	Pleckstrin homology domain-containing family G member 3	PLEKHG3
125870000	172450000	237170000	132430000	142760000	136710000	196870000	147720000	178370000	Q86XK2;Q86XK2-3;A1L491;Q86XK2-5;H0YAV3;Q86XK2-2	F-box only protein 11	FBXO11
1765100000	2016700000	1847200000	2607100000	2478100000	2445700000	2.329e+09	2396800000	2681300000	A1X283	SH3 and PX domain-containing protein 2B	SH3PXD2B
795760000	867240000	784630000	807750000	890140000	944920000	778390000	744670000	822180000	Q86X10;A2A2F0;Q86X10-2;Q86X10-3;A2A2E9;Q86X10-4	Ral GTPase-activating protein subunit beta	RALGAPB
501080000	724860000	570790000	701850000	836750000	789670000	678160000	941580000	790010000	Q9Y312;A2A2Q9	Protein AAR2 homolog	AAR2
234470000	321170000	318250000	251640000	2.85e+08	298170000	263530000	250740000	217490000	P35611;P35611-2;E7EV99;E7ENY0;A2A3N8;P35611-3;H0Y9H2;Q86XM2	Alpha-adducin	ADD1
227140000	139240000	112890000	81021000	72074000	83320000	85676000	143580000	119510000	O15533;G5E9H8;D3YTI9;A8MUD0;A2ABB9;A2AB90;O15533-2;O15533-3;Q6P1N7;C9JA35;G3V0I4;F8VS90;E7EV64;E9PGM2	Tapasin	TAPBP
1.345e+09	974840000	1356100000	5.5e+08	549250000	848710000	473740000	498550000	770430000	P10321;A2AEA2;A2AEA4;F5GXA6;O19617;A2ABE5;A2ABE6;A2ABE7;F8VZB9;E9PE03;E9PIT7;H0Y6Q7	HLA class I histocompatibility antigen, Cw-7 alpha chain	HLA-C
311310000	83283000	248120000	20525000	19434000	26815000	161490000	19470000	64789000	P49662;F8W830;A2NHM0;E9PMT1	Caspase-4;Caspase-4 subunit 1;Caspase-4 subunit 2	CASP4
995030000	947510000	948810000	1243200000	1.208e+09	1197700000	1.148e+09	1191700000	1159500000	Q9UBC2;Q9UBC2-2;A2RRF3	Epidermal growth factor receptor substrate 15-like 1	EPS15L1
577290000	733520000	554150000	670360000	717750000	610860000	628680000	705500000	710300000	A2RRP1;A2RRP1-2;H0Y5G7	Neuroblastoma-amplified sequence	NBAS
4539300000	3394600000	3154400000	4073100000	4416700000	4391200000	3806200000	3780700000	3536100000	A3KMH1;A3KMH1-3;E2QRD0;A3KMH1-2	von Willebrand factor A domain-containing protein 8	VWA8
4082600000	853610000	1333300000	1233100000	1188600000	1.343e+09	1185800000	1083200000	1253700000	A3KN83;A3KN83-3;A3KN83-2;F8W8H8;A3KN83-4	Protein strawberry notch homolog 1	SBNO1
1458500000	1.178e+09	1316400000	1308400000	1076400000	1219400000	1069700000	1254400000	1269200000	A4D1E9;A4D1E9-2;C9J8R7;C9JNI1;C9JEQ8	GTP-binding protein 10	GTPBP10
59774000	56193000	67550000	29166000	46879000	46266000	55397000	78325000	75464000	A4D1P6;C9J1X0;A4D1P6-2;B5MDH8;A4D1P6-3	WD repeat-containing protein 91	WDR91
63798000	132200000	78411000	57809000	38254000	59820000	67657000	31902000	63190000	A4D263	Uncharacterized protein C7orf72	C7orf72
440130000	421160000	340260000	151590000	138520000	106280000	118260000	115100000	97425000	A4D2Q0;O94901;E9PHI4;H0Y742;O94901-5;E9PF23;E7EP45;H0Y6N5;E9PDU4;O94901-3	SUN domain-containing protein 1	UNC84A;SUN1
3.41e+09	2975200000	3382800000	3441100000	3583500000	3521700000	3135500000	3260400000	3.387e+09	A5YKK6;A5YKK6-2;F8WA87;A5YKK6-3;A5YKK6-4	CCR4-NOT transcription complex subunit 1	CNOT1
4912500000	4458600000	5.126e+09	4738700000	4831500000	4887400000	4390700000	3845100000	4583600000	P08559;P08559-2;A5YVE9;P08559-3	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	PDHA1
942780000	898140000	1149700000	1907500000	2119500000	2055500000	970760000	982530000	1144600000	Q6UWP7;A6H8Z7	Lysocardiolipin acyltransferase 1	LCLAT1
167170000	196910000	195270000	262170000	298060000	239780000	330480000	212880000	325010000	Q9Y5U2;A6NCC9;E9PME3;C9JHT9;C9JJV1;Q9Y5U2-2	Protein TSSC4	TSSC4
590920000	626840000	580960000	1109100000	1066500000	1245600000	452100000	515390000	446190000	Q9GZQ8;A6NCE7	Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3B;MAP1LC3B2
53243000	102030000	118380000	123870000	102770000	114560000	93750000	130050000	141400000	Q9Y6G3;A6NCI0	39S ribosomal protein L42, mitochondrial	MRPL42
43125000	41763000	29777000	41696000	46612000	22087000	24814000	34973000	34396000	Q8N5Y2;Q8N5Y2-2;A6NCU2;B7Z227;B4DUV8;P0C860;A6NHW8	Male-specific lethal 3 homolog;Putative male-specific lethal-3 protein-like 2	MSL3;MSL3P1
958190000	828510000	921980000	1102300000	1211300000	1152800000	1.06e+09	1.052e+09	887240000	Q9BWM7;A6NCZ6	Sideroflexin-3	SFXN3
397920000	379550000	420560000	57030000	114400000	120080000	79307000	68906000	48656000	Q7LGA3;A6ND99;Q7LGA3-3;Q7LGA3-2	Heparan sulfate 2-O-sulfotransferase 1	HS2ST1
14147000	29016000	16904000	31221000	45805000	44022000	21993000	15960000	16889000	Q99871;A6NDA1;B4DJM4;Q99871-3;Q99871-2	HAUS augmin-like complex subunit 7	HAUS7
886530000	1186500000	974840000	1206900000	1250700000	1342100000	1345700000	1434400000	1343100000	A6NDG6	Phosphoglycolate phosphatase	PGP
567210000	455010000	597510000	657670000	803380000	660180000	718230000	382160000	477070000	O14734;E9PJN0;A6NDT2;Q9BR14;E9PMC4;G5E995;E9PIS4	Acyl-coenzyme A thioesterase 8	ACOT8
379190000	311580000	290570000	324170000	346530000	388960000	377810000	360770000	310650000	Q5T6N2;C9K0X4;F8W8M4;A6NDU2;A6NKJ2;O14639-2;O14639;O14639-5;Q5JVV3;H0Y3K7;F8WAB1;F8WAB0;Q5T6N4;A6NCD9;O14639-3;O14639-4	Actin-binding LIM protein 1	ABLIM1
365640000	464960000	502330000	384410000	473130000	425060000	444780000	332200000	276900000	A6NDU8	UPF0600 protein C5orf51	C5orf51
81224000	136420000	204540000	104560000	223790000	140910000	134080000	115080000	144060000	P11217;F5GZH7;A6NDY6;E7END0	Glycogen phosphorylase, muscle form	PYGM
135900000	167210000	183270000	130610000	98952000	154990000	214350000	163550000	206370000	A6NED2;G3V2I3;G3V3Q4	RCC1 domain-containing protein 1	RCCD1
104550000	116420000	107250000	146820000	142480000	139020000	97989000	106840000	109090000	Q9Y2X9;A6NF48;F5H1Z5	Zinc finger protein 281	ZNF281
159510000	126800000	156430000	192590000	147350000	155860000	106190000	127070000	139100000	A6NFI3	Zinc finger protein 316	ZNF316
673980000	710030000	535370000	536320000	627280000	568060000	623180000	636120000	665610000	Q8IZP0;Q8IZP0-3;Q8IZP0-2;F5H1G9;F8WA55;F8WA56;A6NFN2;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;B4DQ58	Abl interactor 1	ABI1
1306300000	1284300000	1406600000	1517800000	1291800000	1.678e+09	1720100000	1525400000	1295400000	Q13564;A6NFN4;A6NCK0;A8MU28	NEDD8-activating enzyme E1 regulatory subunit	NAE1
859530000	667090000	655080000	568270000	768220000	707010000	714240000	440400000	542850000	Q92599;A6NMH6;C9J9B6;A6NFQ9;F8W8I8;Q92599-2;F6W7K9;Q92599-3	Septin-8	SEPT8
143540000	134820000	160710000	115970000	190420000	160670000	194750000	208280000	245600000	Q969T9;B4DFG2;A6NG10;E7EX86;B4DV07	WW domain-binding protein 2	WBP2
