Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q5ZMT0	1433E_CHICK	reviewed	14-3-3 protein epsilon (14-3-3E)	YWHAE RCJMB04_1e8	Gallus gallus (Chicken)	255
Q5F3W6	1433G_CHICK	reviewed	14-3-3 protein gamma	YWHAG RCJMB04_5e12	Gallus gallus (Chicken)	247
Q5ZKR7	ACBG2_CHICK	reviewed	Long-chain-fatty-acid--CoA ligase ACSBG2 (EC 6.2.1.3) (Acyl-CoA synthetase bubblegum family member 2)	ACSBG2 RCJMB04_9i11	Gallus gallus (Chicken)	763
P09482	ACHA4_CHICK	reviewed	Neuronal acetylcholine receptor subunit alpha-4	CHRNA4	Gallus gallus (Chicken)	622
P49581	ACHA6_CHICK	reviewed	Neuronal acetylcholine receptor subunit alpha-6	CHRNA6	Gallus gallus (Chicken)	494
P63270	ACTH_CHICK	reviewed	Actin, gamma-enteric smooth muscle (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]	ACTG2 ACTA3 ACTSG	Gallus gallus (Chicken)	376
P07031	ACYP2_CHICK	reviewed	Acylphosphatase-2 (EC 3.6.1.7) (Acylphosphatase isozyme CH1) (Acylphosphatase, muscle type isozyme) (Acylphosphate phosphohydrolase 2)	ACYP2	Gallus gallus (Chicken)	103
Q5ZKP6	ADA_CHICK	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	ADA RCJMB04_9m8	Gallus gallus (Chicken)	357
P61798	APTX_CHICK	reviewed	Aprataxin (EC 3.1.11.7) (EC 3.1.12.2) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT) (Fragment)	APTX	Gallus gallus (Chicken)	316
Q5ZKQ8	ARL8A_CHICK	reviewed	ADP-ribosylation factor-like protein 8A	ARL8A RCJMB04_9k9	Gallus gallus (Chicken)	186
Q90WD0	ARP3_CHICK	reviewed	Actin-related protein 3 (Actin-like protein 3)	ACTR3 ARP3	Gallus gallus (Chicken)	418
P0DJJ2	ASTL_CHICK	reviewed	Astacin-like metalloendopeptidase (EC 3.4.-.-)	ASTL	Gallus gallus (Chicken)	409
P08251	AT1B1_CHICK	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	ATP1B1	Gallus gallus (Chicken)	305
